Samples	SBS96A	SBS96B	SBS96C
TCGA-95-7947	2.86E+00	2.84E+00	1.98E+00
TCGA-95-7948	1.52E-01	5.51E-01	5.50E-01
TCGA-95-8039	5.94E-01	7.99E-01	6.07E-01
TCGA-95-8494	4.07E-01	9.27E-01	8.97E-01
TCGA-95-A4VK	2.26E+00	2.24E+00	6.50E-01
TCGA-95-A4VN	4.58E+00	4.52E+00	1.01E+00
TCGA-95-A4VP	1.35E+00	1.37E+00	4.40E-01
TCGA-97-7546	2.56E+00	2.55E+00	6.52E-01
TCGA-97-7547	1.35E+00	1.31E+00	9.09E-01
TCGA-97-7552	4.87E-01	5.56E-01	3.11E-01
TCGA-97-7553	4.30E-01	4.74E-01	2.42E-01
TCGA-97-7554	4.20E+00	4.08E+00	8.74E-01
TCGA-97-7937	3.66E+00	3.67E+00	9.89E-01
TCGA-97-7938	3.25E+00	3.39E+00	1.05E+00
TCGA-97-7941	1.06E+00	1.08E+00	6.45E-01
TCGA-97-8171	3.77E-01	4.82E-01	3.27E-01
